keys,en,ko,ja,zh_Hans,zh_Hant,es,pt_BR,fr,de,ru,id,vi
STORY_END_1,The clouds went quiet.,구름이 조용해졌다.,雲が静かになった。,云安静了下来。,雲安靜了下來。,Las nubes se callaron.,As nuvens silenciaram.,Les nuages se sont tus.,Die Wolken wurden still.,Облака затихли.,Awan menjadi sunyi.,Những đám mây lặng đi.
STORY_END_2,Someone was standing there.,누군가 서 있었다.,誰かが立っていた。,有人站在那里。,有人站在那裡。,Alguien estaba de pie allí.,Alguém estava ali de pé.,Quelqu'un se tenait là.,Jemand stand dort.,Кто-то стоял там.,Seseorang berdiri di sana.,Có ai đó đang đứng đó.
STORY_END_3,I was waiting for you.,기다리고 있었어.,待っていたよ。,我一直在等你。,我一直在等你。,Te estaba esperando.,Eu estava te esperando.,Je t'attendais.,Ich habe auf dich gewartet.,Я тебя ждал.,Aku menunggumu.,Tớ đã đợi cậu.
STORY_INTRO_1,His person went on ahead.,주인은 먼저 갔다.,飼い主は先に行った。,主人先走了。,主人先走了。,Su humano se fue antes.,Seu humano foi antes.,Son humain est parti avant.,Sein Mensch ging voraus.,Хозяин ушёл первым.,Majikannya pergi lebih dulu.,Chủ của nó đi trước.
STORY_INTRO_2,Tori waited a long time.,토리는 오래 기다렸다.,トリは長く待った。,托里等了很久。,托里等了很久。,Tori esperó mucho tiempo.,Tori esperou muito tempo.,Tori a longtemps attendu.,Tori wartete lange.,Тори долго ждал.,Tori menunggu lama.,Tori đã đợi rất lâu.
STORY_INTRO_3,Then Tori set off.,그리고 따라나섰다.,そして後を追った。,然后它出发了。,然後牠出發了。,Y entonces salió tras él.,E então saiu atrás dele.,Puis Tori s'est mis en route.,Dann machte Tori sich auf.,А потом пошёл следом.,Lalu Tori berangkat.,Rồi Tori lên đường.
STORY_INTRO_REPLAY,Watch the intro again,인트로 다시보기,イントロをもう一度,重看开场,重看開場,Ver la intro otra vez,Ver a intro de novo,Revoir l'intro,Intro nochmal ansehen,Пересмотреть вступление,Tonton intro lagi,Xem lại phần mở đầu
STORY_SKIP,Skip,건너뛰기,スキップ,跳过,跳過,Saltar,Pular,Passer,Überspringen,Пропустить,Lewati,Bỏ qua
STORY_WALKED,%d steps walked,%d걸음을 걸었다,%d歩を歩いた,走了%d步,走了%d步,%d pasos recorridos,%d passos caminhados,%d pas parcourus,%d Schritte gegangen,Пройдено %d шагов,%d langkah ditempuh,Đã đi %d bước
SUBTITLE,Just a Little Further,조금만 더,もう少しだけ,再走一点,再走一點,Un Poco Más,Só Mais Um Pouco,Encore un Peu,Nur Noch Ein Stück,Ещё Немного,Sedikit Lagi,Chỉ Một Chút Nữa
TAP_TO_CLOSE,Tap to close,탭해서 닫기,タップで閉じる,点击关闭,點擊關閉,Toca para cerrar,Toque para fechar,Touche pour fermer,Zum Schließen tippen,"Нажми, чтобы закрыть",Ketuk untuk tutup,Chạm để đóng
TAP_TO_SEE,Tap to see,탭해서 보기,タップで表示,点击查看,點擊查看,Toca para ver,Toque para ver,Touche pour voir,Zum Ansehen tippen,"Нажми, чтобы открыть",Ketuk untuk lihat,Chạm để xem
TAP_TO_START,Tap to start,탭해서 시작,タップで開始,点击开始,點擊開始,Toca para empezar,Toque para começar,Touche pour commencer,Zum Starten tippen,"Нажми, чтобы начать",Ketuk untuk mulai,Chạm để bắt đầu
TITLE,TORI,토리,トリ,托里,托里,TORI,TORI,TORI,TORI,ТОРИ,TORI,TORI
ZONE_LINE_0,The first sky,첫 하늘,最初の空,第一片天空,第一片天空,El primer cielo,O primeiro céu,Le premier ciel,Der erste Himmel,Первое небо,Langit pertama,Bầu trời đầu tiên
ZONE_LINE_1,Golden wind,황금빛 바람,黄金の風,金色的风,金色的風,Viento dorado,Vento dourado,Vent doré,Goldener Wind,Золотой ветер,Angin keemasan,Gió vàng
ZONE_LINE_10,Beyond,그 너머,その向こう,在那之外,在那之外,Más allá,Além,Au-delà,Dahinter,За гранью,Di seberang,Bên kia
ZONE_LINE_2,Sunset run,노을 질주,夕焼けを駆ける,夕阳飞驰,夕陽飛馳,Carrera al atardecer,Corrida no pôr do sol,Course au couchant,Lauf im Abendrot,Бег на закате,Lari senja,Băng qua hoàng hôn
ZONE_LINE_3,Through the night,밤을 뚫고,夜を突き抜けて,穿越夜色,穿越夜色,A través de la noche,Atravessando a noite,À travers la nuit,Durch die Nacht,Сквозь ночь,Menembus malam,Xuyên qua đêm
ZONE_LINE_4,Between the stars,별 사이를 통과,星の間を抜けて,穿过群星,穿過群星,Entre las estrellas,Entre as estrelas,Entre les étoiles,Zwischen den Sternen,Между звёзд,Di antara bintang,Giữa những vì sao
ZONE_LINE_5,The aurora's edge,오로라 경계,オーロラの境,极光的边缘,極光的邊緣,El borde de la aurora,A borda da aurora,Le bord de l'aurore,Der Rand der Aurora,Край сияния,Tepi aurora,Rìa cực quang
ZONE_LINE_6,The red stratosphere,붉은 성층권,赤い成層圏,赤色平流层,赤色平流層,La estratosfera roja,A estratosfera vermelha,La stratosphère rouge,Die rote Stratosphäre,Красная стратосфера,Stratosfer merah,Tầng bình lưu đỏ
ZONE_LINE_7,The current of the void,공허의 흐름,虚空の流れ,虚空之流,虛空之流,La corriente del vacío,A corrente do vazio,Le courant du vide,Die Strömung der Leere,Течение пустоты,Arus kehampaan,Dòng chảy hư không
ZONE_LINE_8,Storm of colour,색채 폭풍,色彩の嵐,色彩风暴,色彩風暴,Tormenta de color,Tempestade de cor,Tempête de couleurs,Sturm der Farben,Буря цвета,Badai warna,Bão sắc màu
ZONE_LINE_9,The white horizon,백색 지평선,白い地平線,白色地平线,白色地平線,El horizonte blanco,O horizonte branco,L'horizon blanc,Der weiße Horizont,Белый горизонт,Cakrawala putih,Chân trời trắng
